,country,pca1,pca2,pca3,pca4,pca5,cluster
0,Afghanistan,-2.9596080602431116,-0.3888857506381254,1.0842714875031942,0.27540966511795834,-0.20997393324474656,Need help
1,Albania,0.3837516262022472,-0.6967088861301887,-1.1640637694491827,0.07897869145645875,0.11000611288063289,Could need help
2,Algeria,-0.0152476307829934,0.3530254951300308,-1.0995335521807164,0.3930560081433638,-0.44324788072884574,Could need help
3,Angola,-2.7487466733110417,2.1431476233178017,0.768844783460657,-0.05512587889874826,-0.612804909963773,Need help
4,Antigua and Barbuda,0.8705528473632724,0.006005184663707173,-0.779199686725738,0.04600960402376395,-0.15954294498625696,Could need help
5,Argentina,0.5076322317934323,-1.0623461470973006,-0.39788547128331275,0.36791948252876283,-0.10853357247363142,Could need help
6,Armenia,-0.07007455352941987,-0.3125180446681115,-1.5571327685748144,0.5228016760880937,0.3310030627858317,Could need help
7,Australia,2.5186246602190443,-0.8898197751140298,0.8812652336141779,1.3753306636022085,-0.0753923664240916,Dont need help
8,Austria,2.938455924760317,-0.776225536241923,1.202765163637279,0.03318118776975247,0.1023461912370326,Dont need help
9,Azerbaijan,0.09322038543378915,0.39745268473771,-0.5634622623383316,-0.4372485715203968,0.5361577243806646,Could need help
10,Bahamas,1.1890949484501756,-0.5374935919675943,0.0873345437566923,0.2605499854796347,0.28709459590243797,Could need help
11,Bahrain,1.6891400836599142,1.1595934313618765,-0.26955653894373366,0.11959249879494514,-0.0028464663402162273,Could need help
12,Bangladesh,-0.9739377127681218,-0.016291173906043226,-1.3262139376803945,0.7216930332271551,0.3630017346513288,Could need help
13,Barbados,0.9665224107021478,-0.6673430074874015,-0.4468864995823106,-0.16507962129465506,0.014503438008633138,Could need help
14,Belarus,0.6083581645228272,0.18625931550291142,-1.0900894034431416,-0.35497344504806966,0.5048172360637222,Could need help
15,Belgium,2.922555646869175,-0.1216711513080364,1.2360689137597136,-0.632817192116876,-0.19751562541715964,Dont need help
16,Belize,0.004180748089560495,0.4960070088541656,-0.9286691839112825,-0.5109518262096456,-0.19523335119554017,Could need help
17,Benin,-2.816518255108536,0.7463604886312655,0.4126542198086036,0.5845046972351173,-0.2701941211857478,Need help
18,Bhutan,-0.36216281902144665,0.17143895592729447,-0.928303018652471,-0.14990241957943087,0.0906693845957172,Could need help
19,Bolivia,-0.713700294666961,0.33194280634935647,-0.7612393616409848,-0.00859853070069287,-0.2565954830946638,Could need help
20,Bosnia and Herz.,0.8736160703713421,-1.881429132864898,-0.4964448587151587,-0.7743968263576289,0.12497276670470164,Could need help
21,Botswana,-0.9451655359707422,-0.12766930129880058,0.5372998586984674,-0.709139666116445,0.9410394059976532,Need help
22,Brazil,0.4229671336038212,-1.5410029090374284,-0.3501715111136415,0.2963151218886898,0.29523070635778387,Could need help
23,Brunei,2.868335953970389,2.2077876559149545,0.3372654091753048,1.4947763624111032,0.5109882655345497,Dont need help
24,Bulgaria,0.7598794677333335,-0.1868976971704209,-0.8792304077990698,-0.4745127669873004,0.23701123530189708,Could need help
25,Burkina Faso,-3.1252537668861224,0.11807685966117688,1.1689943072845836,0.22851597249517874,-0.24848973227293086,Need help
26,Burundi,-2.8638072007861832,-1.389183913634436,1.909727198200566,-0.3420045142043777,-0.5673079851136474,Need help
27,Cambodia,-0.7993066227692592,0.4103361734252091,-0.5994791957337819,-0.6872918152671113,0.16802736835130802,Could need help
28,Cameroon,-2.8729394085043327,0.49827021762077484,0.6643167220554624,0.3768196604703812,0.1452415191437401,Need help
29,Canada,2.6684654037615156,-1.369138957138133,1.2027148741289668,0.5644795554322478,0.032258693965918926,Dont need help
30,Cape Verde,-0.38848459555808373,0.17811080383555714,-1.2391519591655495,0.32509747428341135,-0.10701898766074101,Could need help
31,Central African Rep.,-4.061271511630112,0.8703907481239173,1.0695750895509153,0.6928771184169571,1.0146125022111574,Need help
32,Chad,-3.690262457691599,1.3250822984320603,1.381564982449238,0.22670333090770317,-0.37417828897769717,Need help
33,Chile,1.121894744018922,-0.71439429347307,-0.5617358324200704,-0.047526990927315035,-0.1891526277173218,Could need help
34,China,0.23042139370353532,-0.35297823798223954,-1.4151536888330465,0.3451689557150749,0.27501661321458304,Could need help
35,Colombia,0.2749955862866879,-1.1588059929121233,-0.8199642982411987,0.30913858476735073,-0.01093494563837361,Could need help
36,Comoros,-2.2523903633740097,0.24159716054528038,-0.03381207542067867,0.6928333291355269,-0.3439272918240434,Need help
37,Dem. Rep. Congo,-3.0770704154450175,0.3866409432244434,1.6106507338176819,-0.5221666451854379,-0.6677037390160698,Need help
38,Congo,-1.6351196782974662,2.3594644755568925,-0.129916761440306,-0.77191537072643,-0.4225729311082653,Need help
39,Costa Rica,1.0278352336668344,-1.667357804523057,-0.28107631555829055,-0.6006288186515905,-0.3770312548490689,Could need help
40,C̫te d'Ivoire,-2.7151327675873347,1.1419432204165736,0.8738696394782892,-0.40778081441440767,0.0253865440475034,Need help
41,Croatia,1.1228222309308167,-0.6603240962108626,-0.6066986465568447,-0.06499954300879926,0.15754774172284047,Could need help
42,Cyprus,2.0783958517915746,0.2572673923682225,-0.3389218724890864,0.4850696126813157,0.09977728324562671,Dont need help
43,Czechia,1.8212807069956833,0.057471013223391154,-0.24925861409008598,-0.5744542997899528,0.04840865253742054,Could need help
44,Denmark,3.051698865966942,-0.7712247972120359,1.728518308257356,0.19973058726473913,-0.009628336315389922,Dont need help
45,Dominican Rep.,-0.16971270481328302,-0.5020102314893958,-0.7179766754570337,0.3915512156216408,-0.10848654569194074,Could need help
46,Ecuador,0.11357686851844163,-0.9391856697345483,-0.5481868599159998,-0.07738793487173956,-0.39247147926073334,Could need help
47,Egypt,-0.6697542437179863,-0.06844011316292899,-0.8983887526169901,0.6079680396586282,-0.13710505119231417,Could need help
48,El Salvador,4.559529650803752e-05,-0.7381866834601296,-0.9313480836140569,0.0007911934745977974,-0.05706786426324766,Could need help
49,Eq. Guinea,-1.132626408875507,2.556925395014452,1.663749172529493,-0.3074246031739231,-0.08646398070761008,Need help
50,Eritrea,-2.287832507213722,0.3431739571791454,-0.6602619347006302,1.2063550798365317,-0.08364254300196454,Need help
51,Estonia,1.4271069371400882,0.6748973598629814,-0.7033642131907197,-0.6900317651193106,-0.0237389175831079,Could need help
52,Fiji,-0.39989046869207784,0.6771612007142211,-0.807193187113761,-0.560113163136515,0.2663078990463925,Could need help
53,Finland,2.4868601621788238,-0.549525620875679,0.8157281838788134,0.6746829161902863,-0.03141965482579072,Dont need help
54,France,2.352626846478611,-1.6173273315195171,1.1397683804113432,0.37823003981143505,-0.22586942883832012,Dont need help
55,Gabon,-1.121470828370998,1.514973150713973,0.03752656597806049,0.027049817772994464,0.04226966565530806,Need help
56,Gambia,-2.3162330592543072,0.190525202070386,0.3844274935936798,0.3664853573232259,-0.8732893039834257,Need help
57,Georgia,0.2956212067115942,-1.3887168654042628,-0.4033930791270388,-0.8278491870324616,0.10690141343876791,Could need help
58,Germany,2.701605157419591,-1.1893871338464481,1.097120757748868,0.024871141969056525,0.14740987090750934,Dont need help
59,Ghana,-1.9483795805806312,0.32878984202104117,0.029961700806752846,0.14990313867787336,0.024652791184476722,Need help
60,Greece,1.8391488706411088,-1.5439805139641927,0.19253258096469872,0.3429450919159283,0.04633623638233984,Dont need help
61,Grenada,0.013735401846278647,-0.45221625003046956,-0.9202169433963132,0.35350997019995795,0.19696811950873747,Could need help
62,Guatemala,-0.6529016052931237,-0.5194187572915289,-0.439635644373759,0.09301028586418231,-0.3282993211240764,Need help
63,Guinea,-2.8901650860522308,0.7258009177379565,0.6545242477736346,0.19042801899682713,-0.05697222673194402,Need help
64,Guinea-Bissau,-2.944115882292992,-0.4802293669752905,1.3197405500942077,-0.07118884629631,0.29472904819246704,Need help
65,Guyana,-0.6119818396134721,0.43435010967146176,-0.650606590202266,-0.5027176872044974,0.3373456942968977,Could need help
66,Haiti,-4.754005368436338,0.5279487384778462,2.1774529464891397,-0.24622776610443528,3.2375948453414787,Need help
67,Hungary,1.5565096129316498,0.4684605410840901,-0.5526266662611956,-1.1867473781103577,0.26319138424321004,Could need help
68,Iceland,2.5507448010421103,-0.3611885304358047,0.8299860523577833,0.17969168176431263,-0.4199320561877957,Dont need help
69,India,-1.2135955697934195,0.16759118921897312,-0.8774008617385382,0.46504191644954185,0.5476754064298728,Could need help
70,Indonesia,-0.6499355088894503,0.44337152716700085,-1.4063699954497848,0.7951997918078123,0.276151623429221,Could need help
71,Iran,0.36529678571675106,-0.37478790034209486,-1.0460397760758684,0.4975129191114721,0.2924074851151533,Could need help
72,Iraq,-0.8171225676119709,-0.311770633468462,0.4741088602852499,-0.3624471041184264,-0.642738273023322,Need help
73,Ireland,3.269933945451492,0.9493196707297146,1.2644967098710127,-0.903929258985956,-0.36314954657335924,Dont need help
74,Israel,1.5421502990370592,-0.4022522056246155,0.22254242402170046,0.6862991706834238,-0.7817116305873509,Could need help
75,Italy,2.2620125516986063,-1.1615396990064064,0.3940093082269914,0.6933956051182565,0.052820734833736886,Dont need help
76,Jamaica,0.05416234873748828,-0.12364845937248467,-1.3048026712610656,0.2848989747522845,-0.03536328666269011,Could need help
77,Japan,2.4303198714204326,-1.3763150250776985,0.5311067387498398,1.1149531998960878,0.07013417144786475,Dont need help
78,Jordan,0.014984562203403686,-0.37181196794727595,-0.2770102389600299,-0.5614722927570341,-0.9311485666760212,Need help
79,Kazakhstan,0.04124058022703815,0.6443341331138612,-0.7077417188735535,0.2628287024066121,0.2685891653907694,Could need help
80,Kenya,-1.9413887466483861,0.18439312746820688,-0.21659782911737147,0.4550627531143239,-0.09080822580022518,Need help
81,Kiribati,-1.6353648191704162,-1.6456577773787149,0.9133573348484954,-0.5591236573321315,0.2542974086330947,Need help
82,Kuwait,2.7548040676441077,2.2088460675458825,0.3532890018836095,1.5518004770054559,0.2219177663905591,Dont need help
83,Kyrgyzstan,-0.5678407868225362,0.15398852921087935,-0.6629453627993613,-0.6562670433454648,-0.17194223652603474,Could need help
84,Laos,-1.5708860431183405,0.5313594119806813,-0.37074515332491426,0.06899690747379301,0.47875579771305826,Need help
85,Latvia,0.999290858219791,-0.023034465720688443,-0.789534657051906,-0.44201067737445626,0.40379326077843236,Could need help
86,Lebanon,0.9878687154905661,-0.6195485996370378,-0.9791908227834725,0.03033256372393286,-0.11281474715308443,Could need help
87,Lesotho,-2.354910534509873,-0.6707719555388878,1.580420157703817,-1.453976370112664,1.5691237774489037,Need help
88,Liberia,-2.2084788205684407,-1.4139596422322227,1.5317249489835942,-0.7079100817590485,-0.23893017270190894,Need help
89,Libya,0.9986100672526735,1.2080594112833036,-0.7848289599725933,0.09167883371511418,-0.1825973789453103,Could need help
90,Lithuania,1.1934975573833309,0.19619728524667993,-0.6039213973986889,-0.7373473066391405,0.2912981143503408,Could need help
91,Luxembourg,6.34079667934218,3.7429175886696058,3.4189552087283337,-0.8456430233245268,0.025098830789271675,Dont need help
92,North Macedonia,0.5702234344023613,-0.5541122830636027,-1.0326848536597737,-0.35200763133254936,0.27911497967855775,Could need help
93,Madagascar,-2.1522743191668643,0.5649056610836831,-0.30636822502736755,0.4677688585719663,-0.08409807797927969,Need help
94,Malawi,-2.921914897750795,0.13247257103200472,0.8840802189445703,-0.0010527689924172189,0.20509814805631352,Need help
95,Malaysia,1.0649646559219907,1.3884797740073154,-0.9695860596358472,-0.8239717790632395,-0.17185070598694177,Could need help
96,Maldives,0.8943997412321971,0.519201645352163,-0.9014199632582707,-1.0698261706009802,-0.49946206099012286,Could need help
97,Mali,-3.5048922288133335,0.786521020591841,1.1966349771403868,0.5502981254791237,-0.571582148762074,Need help
98,Malta,2.8867785300757483,1.7844424816437117,0.0947631455974622,-2.9630452138605703,-0.43358639240549246,Dont need help
99,Mauritania,-1.9190942870191579,1.0941574732803647,0.1750810615438189,-0.09114476542499667,-0.6944974551571034,Need help
100,Mauritius,0.6916414517713458,0.0925001164286241,-0.9408287674129993,-0.3260008437017794,0.30778564858287066,Could need help
101,"Micronesia, Fed. Sts.",-0.7272424353932261,-2.3272875818727305,1.0969865199819167,-1.2552762769963683,-0.059889490900913014,Need help
102,Moldova,0.34481082540917857,-1.7565921912440456,-0.2509030320083316,-1.393766924334757,0.5726675040472885,Could need help
103,Mongolia,-0.459821027782325,0.27441213955196136,-0.7652434421858937,-0.3603198066388677,0.27099972376659553,Could need help
104,Montenegro,0.8331079578792604,-1.0966430611059395,-0.585977810751654,-0.48105722823094715,-0.03619378156216068,Could need help
105,Morocco,-0.3322070088456736,-0.09834865054894969,-1.0184905111875249,0.16609216720376632,-0.10346295491906993,Could need help
106,Mozambique,-3.0255263959151777,0.7223263661436731,0.7756979370782809,0.05647673834700782,0.02053291877330306,Need help
107,Myanmar,-1.5451293709107654,0.16320873190913635,-1.362243997302852,1.4005149457759616,0.7462576245940423,Could need help
108,Namibia,-1.276919114968856,0.3445385703170868,0.3232888406884134,-0.5771278091275127,0.4601454789310644,Need help
109,Nepal,-1.115308199373373,-0.5458455224743914,-0.927417059208132,0.5719667098348192,0.3566807117488707,Could need help
110,Netherlands,3.226596414818348,-0.45172245523388815,1.649263171665476,-0.5410616891249462,-0.1545948880037137,Dont need help
111,New Zealand,1.950244803545515,-1.151846160272883,0.6130483660369643,0.40498392223767676,-0.29885275439871034,Dont need help
112,Niger,-3.6746274409445565,0.7638208117275846,1.3219370439421372,0.5670300681190928,-1.0664740982220826,Need help
113,Nigeria,-3.0459312516961816,0.7483005542495625,1.0455478351978418,0.5028487003479447,-0.3061996600567421,Need help
114,Norway,3.975754282619314,-0.16949470743515993,2.4496447341375345,1.6630264922912057,0.15012933412270782,Dont need help
115,Oman,1.3631006188449455,1.7669935054287393,-0.43765103157807705,0.7222442516410924,-0.27737778322052553,Could need help
116,Pakistan,-2.1609339558892247,0.7190800945483168,-0.5885852409840313,1.1427591903314527,0.22780177178968342,Need help
117,Panama,0.8606531940838528,0.051515170614692,-0.3130240347925569,-1.0278635562681606,-0.59566192819417,Could need help
118,Paraguay,0.04547399087907713,0.2289402013065657,-0.8728225625298024,-0.5219008082373926,-0.3650446929285816,Could need help
119,Peru,0.12105455572292127,-0.2418449855443288,-1.1948575070200667,0.4590914682857324,-0.3935889855254131,Could need help
120,Philippines,-0.7954076475806925,0.46953570401037314,-1.0821238778404516,0.31939183399175286,-0.08922380205873083,Could need help
121,Poland,1.18128099821838,-0.522995385299652,-0.680494128718261,-0.07475013525434003,0.2348364993041354,Could need help
122,Portugal,1.815509341321152,-1.5835683148448847,0.19239768869103918,-0.10060280458770032,0.0645144276700145,Dont need help
123,Qatar,4.592732976062885,3.097490199169983,1.8554615003702422,3.24428283247019,0.7400447910082423,Dont need help
124,Romania,0.5819554114869179,-0.21248937898684891,-1.0698750828283738,0.28259332260487247,0.3628808458688602,Could need help
125,Russia,0.4873835055956608,-0.01796505207263598,-0.9032403354443037,0.5200022166761278,0.7453045826242372,Could need help
126,Rwanda,-1.7165205216662711,-1.4694612959747866,0.7976727510128414,-0.28675409293404736,-0.32439085025018244,Need help
127,Samoa,-0.729854381868964,-0.33468062436200446,-0.42990334205602093,0.12473346507534251,-0.9167257475762274,Need help
128,Saudi Arabia,1.178619182043936,1.0670204730737443,-0.11581112517571447,0.8835305540119576,-0.16813647150334377,Could need help
129,Senegal,-2.036706289563847,0.12484899212429543,0.14763764331092136,0.26560559028995107,-0.5201026324125949,Need help
130,Serbia,0.8120164071384345,-1.5440924824581652,-0.4535200836569879,-0.6970471903472769,0.25103927711714247,Could need help
131,Seychelles,0.9715564320856855,1.8372042765890844,-0.9996766852053337,-0.8322490947405911,-0.0923258413307827,Could need help
132,Sierra Leone,-3.257694745696861,-1.3577369704524525,2.6817819977807047,-0.8713304433124804,0.425897957403855,Need help
133,Singapore,4.846802248142759,4.64969111105451,0.6729076479187537,-2.1736196170685713,-0.205939424554321,Dont need help
134,Slovakia,1.7126291043579132,0.04442708305972891,-0.12141923331710082,-1.149142722017098,0.1504589479568555,Could need help
135,Slovenia,2.062480512213115,-0.3666442384655165,0.09334651876058887,-0.689593612091174,-0.11884232873985738,Dont need help
136,Solomon Is.,-1.118336445834122,-0.27503638585479434,0.23367333235223856,-1.0273982549809375,-0.3055309721159164,Need help
137,South Africa,-1.1399054167617695,-0.6206605131821565,0.632917514073112,-0.49879134060269387,1.326838734767154,Need help
138,South Korea,1.9070829066979285,-0.10894636737482911,-0.5116077576826685,0.1242964499448644,0.12075312987269299,Could need help
139,Spain,2.107320145381453,-1.2449023569577167,0.16079102401314915,0.5289003308503996,0.035898469282260856,Dont need help
140,Sri Lanka,-0.13800737328419208,0.0559408515685774,-1.779502727270341,0.8888522957188604,0.010814574866644422,Could need help
141,St. Vincent and the Grenadines,-0.08768235648607868,-0.05488842863875687,-1.2164709323889082,0.4640569037389654,0.2820566292648522,Could need help
142,Sudan,-1.9569635183611425,-0.150554269586934,0.27625422965097735,0.35101702294422316,-0.5123537813473175,Need help
143,Suriname,0.21094301109008937,0.041168876066954234,-0.35192648007426575,-0.5199720244068141,0.06592012085514175,Could need help
144,Sweden,2.8419428244388354,-0.4928755037851821,1.1661001761749215,0.5441554058545213,-0.18716097719366978,Dont need help
145,Switzerland,4.040839819919658,-0.3389322247857413,2.2829494419828165,0.3159121012273024,0.06250200960618313,Dont need help
146,Tajikistan,-1.2589528329531865,-0.5041101198284358,-0.5244047609449327,0.41380270855116785,-0.17677956477996756,Need help
147,Tanzania,-2.482058369314682,0.032917909612043994,0.4626424753016236,0.3244669339239875,-0.335180846881014,Need help
148,Thailand,0.7786779015814943,0.866116775506949,-1.511444114751314,-0.40930669793232655,0.03320582544289695,Could need help
149,Timor-Leste,-1.9401398929777505,-1.2450417060839345,0.8490042743479508,0.5225954674076505,-1.5429381077992796,Need help
150,Togo,-2.2845302205568805,0.1248467645006699,0.86297946622331,-0.5895548096431722,-0.04854896601090848,Need help
151,Tonga,-0.9217121102963994,-0.3974832587970754,-0.8227956112217828,0.7412415163739654,-0.5170992463446263,Need help
152,Tunisia,0.4835509905982055,-0.05108494312882908,-1.037508343534869,-0.3982825080405374,-0.25532855006129296,Could need help
153,Turkey,0.5756485959929211,-0.7390284823858243,-0.7275526694682236,0.5795792465648268,-0.13410434834562032,Could need help
154,Turkmenistan,-0.5938049920647789,1.8653392507434041,-0.7875702858446748,-0.49409430761761697,0.18079263235573695,Could need help
155,Uganda,-2.7755006703433343,-0.6005186151505035,1.348020689269193,-0.1301033922904098,-0.5097159458008753,Need help
156,Ukraine,0.3736855412076563,-0.5435411004080571,-0.8942084572262147,-0.805218494261598,0.4700644971854864,Could need help
157,United Arab Emirates,2.4855818635190006,1.9221539546921225,0.10686767307756602,0.643190902984576,0.2677622755069156,Dont need help
158,United Kingdom,2.1563199053894584,-1.0297459101028517,0.6764161156446971,0.6628800938549262,-0.07836163014782697,Dont need help
159,United States of America,2.8367746082858143,-3.1850878751101517,2.734545118402568,0.03539252428863575,0.134711840278135,Dont need help
160,Uruguay,0.7465260506128635,-1.0313446332626897,-0.44406565559809485,0.10543428567211939,-0.07260215003926403,Could need help
161,Uzbekistan,-0.5872528764378142,-0.2377763967463441,-0.885867628024293,-0.08364867066492193,0.31939214962728324,Could need help
162,Vanuatu,-0.9997364188063048,0.41395837930546503,-0.5370544314790415,-0.3818334002219215,0.04433352920256553,Need help
163,Venezuela,0.3793255575491431,-0.03796665115047051,-0.8546172610900712,0.6767134349669013,-0.1280281524626963,Could need help
164,Vietnam,0.3305464150621271,0.24758077305108891,-0.9244230709175772,-1.30486827105395,-0.03373170538246128,Could need help
165,Yemen,-1.5571858103692438,0.24777472450238036,-0.17906672135594146,0.272891940889133,-0.6150980428294666,Need help
166,Zambia,-2.749217254131351,0.6566293807318703,0.8432625435387936,-0.21773282320717408,0.1683302778220004,Need help
